iter	Passed	Remaining
0	1	1696
1	3	1617
2	4	1555
3	7	1874
4	9	1808
5	10	1753
6	12	1708
7	13	1674
8	15	1660
9	16	1635
10	18	1633
11	19	1625
12	21	1650
13	23	1625
14	24	1612
15	25	1576
16	27	1592
17	28	1569
18	29	1539
19	31	1522
20	32	1524
21	34	1528
22	35	1527
23	40	1635
24	41	1629
25	44	1656
26	45	1655
27	47	1648
28	49	1641
29	50	1628
30	51	1609
31	53	1627
32	54	1610
33	56	1591
34	57	1578
35	58	1564
36	59	1555
37	60	1538
38	61	1527
39	63	1512
40	64	1499
41	65	1490
42	66	1484
43	68	1484
44	69	1473
45	70	1462
46	71	1459
47	73	1448
48	73	1435
49	74	1423
50	76	1420
51	79	1447
52	94	1687
53	99	1737
54	100	1724
55	101	1711
56	102	1696
57	103	1682
58	104	1674
59	106	1663
60	107	1657
61	108	1646
62	110	1639
63	111	1626
64	113	1628
65	114	1615
66	115	1603
67	116	1591
68	117	1580
69	118	1568
70	119	1557
71	119	1546
72	120	1535
73	121	1525
74	122	1514
75	123	1504
76	124	1494
77	125	1484
78	127	1488
79	129	1485
80	130	1479
81	131	1474
82	132	1461
83	133	1452
84	134	1444
85	135	1436
86	136	1428
87	137	1420
88	138	1412
89	138	1405
90	139	1397
91	142	1402
92	143	1398
93	145	1400
94	146	1395
95	147	1389
96	148	1383
97	149	1377
98	150	1370
99	151	1363
100	152	1357
101	153	1350
102	154	1345
103	156	1346
104	158	1353
105	160	1352
106	161	1347
107	162	1344
108	163	1338
109	164	1332
110	165	1326
111	166	1321
112	168	1321
113	169	1320
114	171	1316
115	172	1311
116	172	1305
117	174	1300
118	174	1295
119	175	1290
120	176	1285
121	177	1278
122	178	1273
123	179	1268
124	180	1263
125	181	1258
126	183	1261
127	184	1257
128	185	1252
129	186	1247
130	187	1242
131	188	1237
132	189	1235
133	190	1232
134	191	1229
135	193	1226
136	195	1229
137	198	1240
138	199	1238
139	201	1236
140	202	1234
141	203	1228
142	204	1227
143	206	1224
144	207	1222
145	208	1221
146	212	1232
147	213	1230
148	215	1231
149	216	1228
150	218	1225
151	219	1223
152	221	1225
153	222	1224
154	224	1222
155	226	1224
156	227	1222
157	228	1219
158	229	1216
159	231	1213
160	231	1207
161	232	1204
162	233	1201
163	235	1198
164	236	1195
165	237	1192
166	238	1191
167	240	1191
168	241	1188
169	242	1185
170	245	1190
171	246	1188
172	248	1185
173	249	1183
174	252	1188
175	255	1193
176	256	1192
177	257	1190
178	259	1190
179	261	1190
180	262	1187
181	263	1184
182	264	1182
183	265	1179
184	267	1176
185	268	1176
186	270	1177
187	273	1181
188	282	1210
189	283	1210
190	285	1210
191	287	1209
192	288	1207
193	290	1205
194	291	1202
195	293	1205
196	295	1204
197	296	1202
198	298	1199
199	299	1198
200	300	1196
201	302	1194
202	303	1190
203	304	1188
204	305	1184
205	310	1195
206	311	1195
207	313	1195
208	316	1197
209	317	1194
210	318	1192
211	320	1191
212	324	1197
213	325	1196
214	326	1193
215	328	1193
216	330	1193
217	331	1190
218	333	1189
219	335	1190
220	337	1188
221	338	1186
222	339	1183
223	341	1182
224	343	1182
225	344	1179
226	345	1176
227	346	1172
228	347	1169
229	350	1172
230	352	1175
231	354	1172
232	376	1238
233	377	1235
234	378	1232
235	379	1229
236	381	1229
237	383	1227
238	384	1224
239	386	1224
240	387	1221
241	389	1219
242	390	1217
243	391	1213
244	393	1212
245	400	1227
246	401	1224
247	402	1220
248	403	1218
249	405	1215
250	408	1219
251	413	1227
252	415	1226
253	417	1225
254	418	1222
255	419	1218
256	420	1215
257	421	1213
258	423	1211
259	425	1209
260	428	1212
261	429	1210
262	431	1208
263	432	1204
264	433	1201
265	434	1198
266	435	1196
267	437	1196
268	439	1193
269	442	1196
270	444	1196
271	445	1193
272	447	1190
273	448	1189
274	450	1186
275	451	1184
276	453	1184
277	457	1188
278	458	1185
279	460	1183
280	461	1180
281	462	1177
282	463	1173
283	464	1171
284	466	1169
285	467	1167
286	471	1171
287	473	1169
288	474	1167
289	475	1164
290	477	1162
291	478	1159
292	479	1157
293	480	1154
294	481	1151
295	485	1154
296	486	1151
297	487	1149
298	489	1146
299	490	1143
300	491	1141
301	492	1138
302	493	1135
303	494	1132
304	495	1129
305	496	1126
306	501	1132
307	503	1130
308	504	1128
309	505	1126
310	506	1123
311	507	1120
312	509	1118
313	510	1115
314	511	1111
315	513	1111
316	515	1109
317	516	1106
318	517	1104
319	518	1101
320	519	1098
321	520	1095
322	521	1092
323	522	1089
324	523	1086
325	524	1084
326	526	1082
327	527	1081
328	529	1079
329	530	1076
330	531	1073
331	532	1071
332	533	1069
333	536	1068
334	543	1079
335	547	1081
336	548	1079
337	567	1111
338	569	1109
339	570	1107
340	572	1107
341	579	1114
342	580	1111
343	583	1112
344	590	1120
345	595	1125
346	598	1125
347	601	1126
348	609	1136
349	611	1135
350	612	1133
351	614	1131
352	616	1130
353	618	1129
354	621	1129
355	623	1128
356	656	1181
357	676	1212
358	678	1210
359	680	1210
360	682	1208
361	684	1206
362	686	1203
363	687	1201
364	689	1199
365	690	1196
366	692	1194
367	693	1191
368	695	1189
369	697	1188
370	699	1186
371	701	1183
372	702	1180
373	703	1178
374	718	1198
375	720	1196
376	721	1192
377	723	1190
378	727	1191
379	729	1189
380	730	1187
381	732	1184
382	733	1182
383	735	1179
384	736	1176
385	737	1173
386	741	1174
387	742	1171
388	748	1176
389	751	1175
390	752	1172
391	755	1171
392	757	1169
393	759	1168
394	762	1167
395	766	1169
396	770	1169
397	787	1191
398	789	1188
399	793	1189
400	794	1187
401	796	1184
402	799	1184
403	805	1188
404	807	1185
405	808	1182
406	810	1180
407	811	1177
408	812	1174
409	813	1171
410	814	1167
411	815	1164
412	818	1163
413	820	1160
414	821	1157
415	822	1154
416	823	1150
417	824	1147
418	825	1144
419	826	1140
420	827	1137
421	828	1134
422	829	1130
423	829	1127
424	831	1125
425	833	1123
426	834	1120
427	836	1117
428	837	1114
429	838	1111
430	839	1108
431	841	1106
432	842	1103
433	843	1100
434	846	1099
435	848	1097
436	850	1095
437	852	1093
438	853	1090
439	854	1087
440	855	1084
441	856	1081
442	857	1078
443	859	1076
444	860	1073
445	862	1070
446	863	1068
447	865	1066
448	868	1066
449	872	1065
450	873	1063
451	875	1061
452	877	1059
453	878	1056
454	879	1053
455	880	1050
456	884	1050
457	885	1047
458	887	1045
459	889	1044
460	891	1041
461	892	1039
462	893	1036
463	896	1036
464	900	1036
465	903	1035
466	904	1032
467	905	1029
468	906	1026
469	907	1023
470	909	1021
471	912	1020
472	916	1021
473	917	1018
474	918	1015
475	919	1012
476	921	1009
477	922	1007
478	937	1020
479	942	1021
480	943	1018
481	945	1015
482	946	1013
483	948	1010
484	949	1008
485	952	1007
486	954	1005
487	956	1004
488	958	1001
489	960	999
490	961	996
491	962	994
492	963	991
493	965	988
494	967	986
495	969	984
496	970	982
497	971	979
498	972	976
499	973	973
500	975	971
501	976	968
502	977	965
503	978	962
504	980	961
505	981	958
506	983	956
507	984	953
508	985	950
509	986	947
510	987	945
511	988	942
512	989	939
513	990	936
514	991	933
515	992	931
516	994	929
517	995	926
518	997	924
519	998	921
520	999	918
521	1001	916
522	1002	914
523	1003	911
524	1004	908
525	1005	906
526	1008	904
527	1009	902
528	1010	899
529	1013	898
530	1014	896
531	1016	893
532	1020	893
533	1022	891
534	1023	889
535	1024	886
536	1027	885
537	1028	883
538	1039	888
539	1041	887
540	1042	884
541	1046	883
542	1049	883
543	1051	881
544	1053	879
545	1054	877
546	1056	875
547	1058	872
548	1077	885
549	1082	885
550	1084	884
551	1086	882
552	1088	879
553	1089	877
554	1091	875
555	1094	874
556	1098	873
557	1100	871
558	1101	869
559	1102	866
560	1104	864
561	1105	861
562	1109	861
563	1114	861
564	1116	859
565	1118	857
566	1120	855
567	1124	855
568	1127	853
569	1128	851
570	1130	849
571	1131	846
572	1133	844
573	1134	842
574	1138	841
575	1139	839
576	1142	837
577	1143	834
578	1144	832
579	1145	829
580	1147	827
581	1151	827
582	1156	826
583	1157	824
584	1158	822
585	1161	820
586	1162	817
587	1163	815
588	1165	813
589	1169	812
590	1171	810
591	1172	808
592	1173	805
593	1175	803
594	1177	801
595	1178	798
596	1180	796
597	1182	794
598	1184	793
599	1186	790
600	1188	788
601	1189	786
602	1190	784
603	1192	781
604	1193	779
605	1197	778
606	1199	776
607	1200	774
608	1202	771
609	1203	769
610	1229	782
611	1231	780
612	1233	778
613	1235	776
614	1324	829
615	1327	827
616	1329	824
617	1330	822
618	1332	820
619	1334	818
620	1337	816
621	1339	813
622	1340	811
623	1342	808
624	1344	806
625	1348	805
626	1350	803
627	1352	801
628	1354	799
629	1356	796
630	1357	794
631	1361	792
632	1363	790
633	1365	788
634	1367	785
635	1368	783
636	1370	780
637	1398	793
638	1399	790
639	1401	788
640	1403	786
641	1405	783
642	1407	781
643	1409	779
644	1410	776
645	1415	775
646	1418	773
647	1420	771
648	1422	769
649	1423	766
650	1425	764
651	1428	762
652	1431	760
653	1459	772
654	1462	770
655	1466	769
656	1468	766
657	1470	764
658	1473	762
659	1475	760
660	1477	757
661	1481	756
662	1489	757
663	1491	754
664	1493	752
665	1495	749
666	1496	747
667	1498	744
668	1499	742
669	1501	739
670	1503	736
671	1504	734
672	1506	731
673	1509	730
674	1512	728
675	1513	725
676	1515	723
677	1517	720
678	1518	718
679	1523	717
680	1525	714
681	1528	712
682	1549	719
683	1555	718
684	1557	716
685	1558	713
686	1560	710
687	1561	708
688	1563	705
689	1565	703
690	1569	702
691	1571	699
692	1573	696
693	1574	694
694	1576	691
695	1578	689
696	1581	687
697	1584	685
698	1585	682
699	1586	679
700	1588	677
701	1589	674
702	1591	672
703	1595	670
704	1600	669
705	1602	667
706	1603	664
707	1604	661
708	1606	659
709	1613	659
710	1614	656
711	1616	653
712	1620	652
713	1621	649
714	1629	649
715	1631	647
716	1634	645
717	1637	642
718	1639	640
719	1641	638
